Litostomes	ID	BioSample	Genome	GFF	RNA	CDS	Protein	RNA-Seq fwd	RNA-Seq rev
Amphileptidae sp.1 P10K	P10K-MW-000592	SAMC2821159	https://download.cncb.ac.cn/gwh/Protists/Amphileptidae_sp.1_P10K_P10K-MW-000592_GWHDQFU00000000/GWHDQFU00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptidae_sp.1_P10K_P10K-MW-000592_GWHDQFU00000000/GWHDQFU00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptidae_sp.1_P10K_P10K-MW-000592_GWHDQFU00000000/GWHDQFU00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptidae_sp.1_P10K_P10K-MW-000592_GWHDQFU00000000/GWHDQFU00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptidae_sp.1_P10K_P10K-MW-000592_GWHDQFU00000000/GWHDQFU00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889779/CRR889779_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889779/CRR889779_r2.fq.gz
Spathidiidae sp.1 P10K	P10K-MW-000622	SAMC2821189	https://download.cncb.ac.cn/gwh/Protists/Spathidiidae_sp.1_P10K_P10K-MW-000622_GWHDQGY00000000/GWHDQGY00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidiidae_sp.1_P10K_P10K-MW-000622_GWHDQGY00000000/GWHDQGY00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidiidae_sp.1_P10K_P10K-MW-000622_GWHDQGY00000000/GWHDQGY00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidiidae_sp.1_P10K_P10K-MW-000622_GWHDQGY00000000/GWHDQGY00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidiidae_sp.1_P10K_P10K-MW-000622_GWHDQGY00000000/GWHDQGY00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889809/CRR889809_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889809/CRR889809_r2.fq.gz
Spathidium stammeri strain P10K-1	P10K-MW-000630	SAMC2821197	https://download.cncb.ac.cn/gwh/Protists/Spathidium_stammeri_strain_P10K-1_P10K-MW-000630_GWHDQHG00000000/GWHDQHG00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidium_stammeri_strain_P10K-1_P10K-MW-000630_GWHDQHG00000000/GWHDQHG00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidium_stammeri_strain_P10K-1_P10K-MW-000630_GWHDQHG00000000/GWHDQHG00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidium_stammeri_strain_P10K-1_P10K-MW-000630_GWHDQHG00000000/GWHDQHG00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Spathidium_stammeri_strain_P10K-1_P10K-MW-000630_GWHDQHG00000000/GWHDQHG00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889817/CRR889817_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889817/CRR889817_r2.fq.gz
Amphileptidae sp.2 P10K	P10K-MW-000689	SAMC2821256	https://download.cncb.ac.cn/gwh/Protists/Amphileptidae_sp.2_P10K_P10K-MW-000689_GWHDQJN00000000/GWHDQJN00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptidae_sp.2_P10K_P10K-MW-000689_GWHDQJN00000000/GWHDQJN00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptidae_sp.2_P10K_P10K-MW-000689_GWHDQJN00000000/GWHDQJN00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptidae_sp.2_P10K_P10K-MW-000689_GWHDQJN00000000/GWHDQJN00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Amphileptidae_sp.2_P10K_P10K-MW-000689_GWHDQJN00000000/GWHDQJN00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889876/CRR889876_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889876/CRR889876_r2.fq.gz
Epispathidium sp.1 P10K	P10K-MW-000697	SAMC2821264	https://download.cncb.ac.cn/gwh/Protists/Epispathidium_sp.1_P10K_P10K-MW-000697_GWHDQJV00000000/GWHDQJV00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Epispathidium_sp.1_P10K_P10K-MW-000697_GWHDQJV00000000/GWHDQJV00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Epispathidium_sp.1_P10K_P10K-MW-000697_GWHDQJV00000000/GWHDQJV00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Epispathidium_sp.1_P10K_P10K-MW-000697_GWHDQJV00000000/GWHDQJV00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Epispathidium_sp.1_P10K_P10K-MW-000697_GWHDQJV00000000/GWHDQJV00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889884/CRR889884_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889884/CRR889884_r2.fq.gz
Dileptus costaricanus strain P10K-2	P10K-MW-000779	SAMC2821346	https://download.cncb.ac.cn/gwh/Protists/Dileptus_costaricanus_strain_P10K-2_P10K-MW-000779_GWHDQMZ00000000/GWHDQMZ00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Dileptus_costaricanus_strain_P10K-2_P10K-MW-000779_GWHDQMZ00000000/GWHDQMZ00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Dileptus_costaricanus_strain_P10K-2_P10K-MW-000779_GWHDQMZ00000000/GWHDQMZ00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Dileptus_costaricanus_strain_P10K-2_P10K-MW-000779_GWHDQMZ00000000/GWHDQMZ00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Dileptus_costaricanus_strain_P10K-2_P10K-MW-000779_GWHDQMZ00000000/GWHDQMZ00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889966/CRR889966_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR889966/CRR889966_r2.fq.gz
Epispathidium sp.2 P10K	P10K-MW-000846	SAMC2821413	https://download.cncb.ac.cn/gwh/Protists/Epispathidium_sp.2_P10K_P10K-MW-000846_GWHDQPO00000000/GWHDQPO00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Epispathidium_sp.2_P10K_P10K-MW-000846_GWHDQPO00000000/GWHDQPO00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Epispathidium_sp.2_P10K_P10K-MW-000846_GWHDQPO00000000/GWHDQPO00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Epispathidium_sp.2_P10K_P10K-MW-000846_GWHDQPO00000000/GWHDQPO00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Epispathidium_sp.2_P10K_P10K-MW-000846_GWHDQPO00000000/GWHDQPO00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890033/CRR890033_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890033/CRR890033_r2.fq.gz
Didiniidae sp.1 P10K	P10K-MW-000898	SAMC2821465	https://download.cncb.ac.cn/gwh/Protists/Didiniidae_sp.1_P10K_P10K-MW-000898_GWHDQRO00000000/GWHDQRO00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Didiniidae_sp.1_P10K_P10K-MW-000898_GWHDQRO00000000/GWHDQRO00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Didiniidae_sp.1_P10K_P10K-MW-000898_GWHDQRO00000000/GWHDQRO00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Didiniidae_sp.1_P10K_P10K-MW-000898_GWHDQRO00000000/GWHDQRO00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Didiniidae_sp.1_P10K_P10K-MW-000898_GWHDQRO00000000/GWHDQRO00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890085/CRR890085_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890085/CRR890085_r2.fq.gz
Dimacrocaryonidae sp.2 P10K	P10K-MW-000908	SAMC2821475	https://download.cncb.ac.cn/gwh/Protists/Dimacrocaryonidae_sp.2_P10K_P10K-MW-000908_GWHDQRY00000000/GWHDQRY00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Dimacrocaryonidae_sp.2_P10K_P10K-MW-000908_GWHDQRY00000000/GWHDQRY00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Dimacrocaryonidae_sp.2_P10K_P10K-MW-000908_GWHDQRY00000000/GWHDQRY00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Dimacrocaryonidae_sp.2_P10K_P10K-MW-000908_GWHDQRY00000000/GWHDQRY00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Dimacrocaryonidae_sp.2_P10K_P10K-MW-000908_GWHDQRY00000000/GWHDQRY00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890095/CRR890095_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890095/CRR890095_r2.fq.gz
Apobryophyllum schmidingeri strain P10K-1	P10K-MW-000918	SAMC2821485	https://download.cncb.ac.cn/gwh/Protists/Apobryophyllum_schmidingeri_strain_P10K-1_P10K-MW-000918_GWHDQSI00000000/GWHDQSI00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Apobryophyllum_schmidingeri_strain_P10K-1_P10K-MW-000918_GWHDQSI00000000/GWHDQSI00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Apobryophyllum_schmidingeri_strain_P10K-1_P10K-MW-000918_GWHDQSI00000000/GWHDQSI00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Apobryophyllum_schmidingeri_strain_P10K-1_P10K-MW-000918_GWHDQSI00000000/GWHDQSI00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Apobryophyllum_schmidingeri_strain_P10K-1_P10K-MW-000918_GWHDQSI00000000/GWHDQSI00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890105/CRR890105_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890105/CRR890105_r2.fq.gz
Apodileptus visscheri rhabdoplites strain P10K-1	P10K-MW-000932	SAMC2821499	https://download.cncb.ac.cn/gwh/Protists/Apodileptus_visscheri_rhabdoplites_strain_P10K-1_P10K-MW-000932_GWHDQSW00000000/GWHDQSW00000000.genome.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Apodileptus_visscheri_rhabdoplites_strain_P10K-1_P10K-MW-000932_GWHDQSW00000000/GWHDQSW00000000.gff.gz	https://download.cncb.ac.cn/gwh/Protists/Apodileptus_visscheri_rhabdoplites_strain_P10K-1_P10K-MW-000932_GWHDQSW00000000/GWHDQSW00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Apodileptus_visscheri_rhabdoplites_strain_P10K-1_P10K-MW-000932_GWHDQSW00000000/GWHDQSW00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Protists/Apodileptus_visscheri_rhabdoplites_strain_P10K-1_P10K-MW-000932_GWHDQSW00000000/GWHDQSW00000000.Protein.faa.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890119/CRR890119_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890119/CRR890119_r2.fq.gz
Rurikoplites sp.1 P10K	P10K-MW-000979	SAMC2821546						https://download.cncb.ac.cn/gsa2/CRA012810/CRR890166/CRR890166_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890166/CRR890166_r2.fq.gz
Rurikoplites sp.2 P10K	P10K-MW-001009	SAMC2821576						https://download.cncb.ac.cn/gsa2/CRA012810/CRR890196/CRR890196_f1.fq.gz	https://download.cncb.ac.cn/gsa2/CRA012810/CRR890196/CRR890196_r2.fq.gz
